ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,VOLUME
PK0083501012,ABL,Allied Bank Limited,197.44,0.4586970102982181,114507383,22608337699.52,114507383,22608337699.52,746363
PK0025701019,ABOT,Abbott Laboratories (Pakistan) Limited,1259.99,0.5404522108574777,21141360,26637902186.4,21141360,26637902186.4,12986
PK0113801010,AGP,AGP Limited,192.86,0.3286841232149223,84000000,16200240000.0,84000000,16200240000.0,50607
PK0004901010,AICL,Adamjee Insurance Company Limited,90.15,0.5121309707875358,280000000,25242000000.0,280000000,25242000000.0,693077
PK0122801019,AIRLINK,Air Link Communication Limited,160.95,0.3872242268948527,118580769,19085574770.55,118580769,19085574770.55,1958810
PK0051301015,AKBL,Askari Bank Limited,90.79,0.800893194296449,434789762,39474562491.98,434789762,39474562491.98,4554095
PK0082901015,APL,Attock Petroleum Limited,563.0,0.2842313010302326,24883200,14009241600.0,24883200,14009241600.0,6291717
PK0009201010,ATLH,Atlas Honda Limited,1401.79,0.35291475022367225,12408794,17394523341.26,12408794,17394523341.26,7960
PK0024501014,ATRL,Attock Refinery Limited,710.72,0.6149491551272187,42646500,30309720480.0,42646500,30309720480.0,1144653
PK0078701015,BAFL,Bank Alfalah Limited,113.87,1.6396693408408738,709724304,80816306496.48,709724304,80816306496.48,8771817
PK0051601018,BAHL,Bank AL Habib Limited,207.87,3.2811603726948726,777997791,161722400815.17,777997791,161722400815.17,408915
PK0051701016,BNWM,Bannu Woollen Mills Limited,69.35,0.006687795412343494,4753125,329629218.75,4753125,329629218.75,3526
PK0045001010,BOP,The Bank of Punjab,33.63,0.9428298036387379,1381812628,46470358679.64,1381812628,46470358679.64,88049557
PK0077601018,BWCL,Bestway Cement Limited,644.21,0.7793188067282043,59625278,38411200340.38,59625278,38411200340.38,12947
PK0029801013,CHCC,Cherat Cement Company Limited,351.29,0.7616360016284369,106862271,37539647179.59,106862271,37539647179.59,207846
PK0078401012,CNERGY,Cnergyico PK  Limited,8.58,0.23907246448578987,1373361893,11783445041.94,1373361893,11783445041.94,39258012
PK0028001011,COLG,Colgate-Palmolive (Pakistan) Limited,1289.35,0.6350807814912452,24277327,31301971567.45,24277327,31301971567.45,25384
PK0126201018,CPHL,Citi Pharma Ltd.,94.54,0.21910653648257267,114230600,10799360924.0,114230600,10799360924.0,1557860
PK0099001023,DCR,Dolmen City REIT,31.8,0.35867458346941344,555925000,17678415000.0,555925000,17678415000.0,397218
PK0052401012,DGKC,D.G. Khan Cement Company Limited,243.44,1.081960550736549,219059559,53327859042.96,219059559,53327859042.96,1736907
PK0148401018,DHPL,DH Partners Limited,43.73,0.2989090269805666,336900981,14732679899.13,336900981,14732679899.13,139016
PK0099701010,EFERT,Engro Fertilizers Limited,233.92,2.851778515675966,600884719,140558953468.48,600884719,140558953468.48,2266960
PK0017501013,ENGROH,Engro Holdings Limited,244.81,4.7850511004859815,963385595,235846427511.95,963385595,235846427511.95,1636954
PK0070501017,FABL,Faysal Bank Limited,88.9,0.8212308089555678,455308958,40476966366.2,455308958,40476966366.2,2087838
PK0091601010,FATIMA,Fatima Fertilizer Company Limited,143.01,0.9139748352619653,315000000,45048150000.0,315000000,45048150000.0,839648
PK0074501013,FCCL,Fauji Cement Company Limited,57.32,0.9983940915607494,858496527,49209020927.64,858496527,49209020927.64,7791840
PK0053401011,FFC,Fauji Fertilizer Company Limited,475.38,8.235453270159665,853865218,405910447332.84,853865218,405910447332.84,2927164
PK0015801019,FFL,Fauji Foods Limited,20.71,0.21176859769351408,503992628,10437687325.88,503992628,10437687325.88,8091988
PK0029901011,FHAM,First Habib Modaraba,32.75,0.0625960315047203,94205925,3085244043.75,94205925,3085244043.75,34410
PK0064101014,GADT,Gadoon Textile Mills Limited,376.55,0.06424181856070084,8408875,3166361881.25,8408875,3166361881.25,34315
PK0059701018,GAL,Ghandhara Automobiles Limited,597.29,0.2763098812557646,22801000,13618809290.0,22801000,13618809290.0,921338
PK0064301010,GHGL,Ghani Glass Limited,43.77,0.3107262949054444,349900193,15315131447.61,349900193,15315131447.61,896428
PK0007101014,GHNI,Ghandhara Industries Limited,887.09,0.2684063250678827,14913095,13229257443.55,14913095,13229257443.55,1203672
PK0001301016,GLAXO,GlaxoSmithKline Pakistan Limited,433.15,0.5597452423873095,63693456,27588820466.4,63693456,27588820466.4,181988
PK0112101016,HALEON,Haleon Pakistan Limited,900.62,0.28711205322251687,15712763,14151228613.06,15712763,14151228613.06,33872
PK0085101019,HBL,Habib Bank Limited,316.52,3.767947767854036,586741003,185715262269.56,586741003,185715262269.56,2018472
PK0064901017,HCAR,Honda Atlas Cars (Pakistan) Limited,306.3,0.17748533630534294,28560000,8747928000.0,28560000,8747928000.0,4607966
PK0024701010,HGFA,HBL Growth Fund,18.49,0.09949844624558814,265229673,4904096653.77,265229673,4904096653.77,230723
PK0070701013,HINOON,Highnoon Laboratories Limited,1149.81,0.4944050148744797,21193345,24368320014.45,21193345,24368320014.45,46284
PK0055401019,HMB,Habib Metropolitan Bank Limited,118.19,1.1306858732558709,471524166,55729441179.54,471524166,55729441179.54,771511
PK0065001015,HUBC,The Hub Power Company Limited,213.68,3.936505492736102,908008071,194023164611.28,908008071,194023164611.28,31575533
PK0083801016,HUMNL,Hum Network Limited,15.03,0.17290172151022454,567000000,8522010000.0,567000000,8522010000.0,2898861
PK0070801011,IBFL,Ibrahim Fibres Limited,300.14,0.09454151461668271,15525350,4659778549.0,15525350,4659778549.0,398
PK0114501015,ILP,Interloop Limited,72.0,0.4095225091323122,280341894,20184616368.0,280341894,20184616368.0,359102
PK0054501017,INDU,Indus Motor Company Limited,2150.96,0.6091222551122308,13957732,30022523222.72,13957732,30022523222.72,177571
PK0028501010,INIL,International Industries Limited,226.9,0.2732054867813738,59346846,13465799357.4,59346846,13465799357.4,73824
PK0102001010,ISL,International Steels Limited,116.51,0.3598966311953448,152250000,17738647500.0,152250000,17738647500.0,290637
PK0054701013,JDWS,JDW Sugar Mills Limited,831.99,0.14629149412139605,8666499,7210440503.01,8666499,7210440503.01,1208
PK0006101015,JVDC,Javedan Corporation Limited,77.99,0.24105828525928844,152344179,11881322520.21,152344179,11881322520.21,391884
PK0083101011,KAPCO,Kot Addu Power Company Limited,35.19,0.3259110296014255,456480798,16063559281.62,456480798,16063559281.62,575530
PK0000501012,KEL,K-Electric Limited,7.23,0.4050826828829414,2761519425,19965785442.75,2761519425,19965785442.75,87482618
PK0075001013,KOHC,Kohat Cement Company Limited,103.0,0.48028036571515975,229826620,23672141860.0,229826620,23672141860.0,949207
PK0018101011,KTML,Kohinoor Textile Mills Limited,69.28,0.378530284714669,269299455,18657066242.4,269299455,18657066242.4,638703
PK0003101018,LCI,Lucky Core Industries Limited,322.48,0.4532113726157697,69269290,22337960639.2,69269290,22337960639.2,100368
PK0077901012,LOTCHEM,Lotte Chemical Pakistan Limited,27.01,0.20744701018194098,378551802,10224684172.02,378551802,10224684172.02,1271140
PK0071501016,LUCK,Lucky Cement Limited,443.95,3.9586783654011213,439500000,195116025000.0,439500000,195116025000.0,2592217
PK0066301018,MARI,Mari Energies Limited,740.08,3.605557446068798,240124500,177711339960.0,240124500,177711339960.0,1818741
PK0055601014,MCB,MCB Bank Limited,367.08,3.0890603052291645,414771002,152254139414.16,414771002,152254139414.16,732604
PK0077401013,MEBL,Meezan Bank Limited,442.39,4.027210248753065,448685179,198493836337.81,448685179,198493836337.81,1085737
PK0019801015,MEHT,Mehmood Textile Mills Limited,317.05,0.1447329964536976,22500000,7133625000.0,22500000,7133625000.0,1781
PK0066201010,MLCF,Maple Leaf Cement Factory Limited,104.14,0.9960183819406132,471403174,49091926540.36,471403174,49091926540.36,2215884
PK0009801017,MTL,Millat Tractors Limited,531.97,0.9690240283930586,89782176,47761424166.72,89782176,47761424166.72,90378
PK0000601010,MUREB,Murree Brewery Company Limited,1033.17,0.2319520545341652,11065452,11432493042.84,11065452,11432493042.84,6030
PK0037801013,NATF,National Foods Limited,365.11,0.43170991586084384,58278856,21278193114.16,58278856,21278193114.16,200605
PK0078001010,NBP,National Bank of Pakistan,213.8,2.210732622617045,509649076,108962972448.8,509649076,108962972448.8,5507868
PK0025101012,NESTLE,Nestle Pakistan Limited,8349.98,0.3841368641425798,2267479,18933404300.42,2267479,18933404300.42,207
