ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,EXACT SHARES,BASKET SHARES,SHARE VALUE,BASKET WT %,WT DIFF
PK0053401011,FFC,Fauji Fertilizer Company Limited,475.38,8.235453270159665,50.93237539288446,51,24244.38,8.32,-0.08
PK0081901016,UBL,United Bank Limited,382.8,6.807294566024727,52.28172942558176,52,19905.600000000002,6.83,-0.02
PK0017501013,ENGROH,Engro Holdings Limited,244.81,4.7850511004859815,57.465178037779445,57,13954.17,4.79,-0.0
PK0077401013,MEBL,Meezan Bank Limited,442.39,4.027210248753065,26.763711049829364,27,11944.529999999999,4.1,-0.07
PK0071501016,LUCK,Lucky Cement Limited,443.95,3.958678365401121,26.215822489648147,26,11542.699999999999,3.96,-0.0
PK0065001015,HUBC,The Hub Power Company Limited,213.68,3.936505492736102,54.16195314790406,54,11538.720000000001,3.96,-0.02
PK0085101019,HBL,Habib Bank Limited,316.52,3.767947767854036,34.99863022081027,35,11078.199999999999,3.8,-0.03
PK0066301018,MARI,Mari Energies Limited,740.08,3.605557446068798,14.323233828021655,14,10361.12,3.56,0.05
PK0080201012,OGDC,Oil & Gas Development Company Limited,269.56,3.5283056271115485,38.4820394112923,38,10243.28,3.52,0.01
PK0051601018,BAHL,Bank AL Habib Limited,207.87,3.2811603726948726,46.40694422342293,46,9562.02,3.28,0.0
PK0109001013,SYS,Systems Limited,163.87,3.171197311377681,56.8946121648281,57,9340.59,3.21,-0.04
PK0055601014,MCB,MCB Bank Limited,367.08,3.0890603052291645,24.740757593368595,25,9177.0,3.15,-0.06
PK0099701010,EFERT,Engro Fertilizers Limited,233.92,2.851778515675966,35.84229153594109,36,8421.119999999999,2.89,-0.04
PK0081801018,PPL,Pakistan Petroleum Limited,195.64,2.6563170209995715,39.91807422683879,40,7825.599999999999,2.69,-0.03
PK0022501016,PSO,Pakistan State Oil Company Limited,479.37,2.283016402454602,14.001852896961699,14,6711.18,2.3,-0.02
PK0078001010,NBP,National Bank of Pakistan,213.8,2.210732622617045,30.40015860848509,30,6414.0,2.2,0.01
PK0023901017,POL,Pakistan Oilfields Limited,709.72,1.8710435611357317,7.750758143689132,8,5677.76,1.95,-0.08
PK0078701015,BAFL,Bank Alfalah Limited,113.87,1.6396693408408738,42.33448548407981,42,4782.54,1.64,-0.0
PK0055401019,HMB,Habib Metropolitan Bank Limited,118.19,1.1306858732558709,28.126038305882567,28,3309.3199999999997,1.14,-0.01
PK0052401012,DGKC,D.G. Khan Cement Company Limited,243.44,1.081960550736549,13.06672699295701,13,3164.72,1.09,-0.01
